ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Amount Converted,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count,Send Count
15012,ALL,Lifetime,INITIAL_PURCHASE,Web,399.92,28863,0,1,1,1,0,0,1
22820,ALL,Lifetime,INITIAL_PURCHASE,Web,398,28840,0,1,1,1,0,0,4
19636,ALL,Lifetime,INITIAL_PURCHASE,Web,386.9591442,28784,0,1,1,1,13,10,13
3094,ALL,Lifetime,INITIAL_PURCHASE,Web,375.2882126,28784,0,0,1,1,1,1,15
19212,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3991222,28765,0,1,1,1,0,0,40
27117,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3991222,28765,1,1,0,1,5,4,6
28027,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3991222,28765,0,0,0,0,NULL,NULL,NULL
28045,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3991222,28765,0,0,0,0,NULL,NULL,NULL
34003,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3991222,28765,0,1,1,1,30,0,54
37844,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3991222,28765,0,0,0,0,NULL,NULL,NULL
4723,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3963393,28767,0,1,1,1,8,5,17
13869,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3963393,28767,1,1,1,1,2,0,2
18181,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3963393,28767,1,1,0,1,1,0,1
20880,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3963393,28767,0,0,1,1,2,0,2
27519,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3963393,28767,0,0,0,0,5,0,5
20260,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3522826,28768,1,1,1,1,4,4,7
29998,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3522826,28768,0,0,0,0,NULL,NULL,NULL
35056,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3522826,28768,0,0,0,0,NULL,NULL,NULL
37011,ALL,Lifetime,INITIAL_PURCHASE,Web,372.3522826,28768,0,0,0,0,NULL,NULL,NULL
5445,ALL,Lifetime,INITIAL_PURCHASE,Web,371.8572466,28783,0,1,1,1,7,0,55
28274,ALL,Lifetime,INITIAL_PURCHASE,Web,371.8572466,28783,0,1,1,1,5,1,35
38032,ALL,Lifetime,INITIAL_PURCHASE,Web,370.2497514,28766,0,0,0,0,NULL,NULL,NULL
2630,ALL,Lifetime,INITIAL_PURCHASE,Web,369.076568,28769,0,0,1,1,0,0,5
21460,ALL,Lifetime,INITIAL_PURCHASE,Web,367.77,28793,0,0,0,0,NULL,NULL,NULL
31931,ALL,Lifetime,INITIAL_PURCHASE,Web,367.2826123,28780,0,0,0,0,NULL,NULL,NULL
24218,ALL,Lifetime,INITIAL_PURCHASE,Web,367.1716607,28782,1,1,1,1,151,53,169
34527,ALL,Lifetime,INITIAL_PURCHASE,Web,367.1716607,28782,0,0,0,0,0,0,1
38058,ALL,Lifetime,INITIAL_PURCHASE,Web,367.1716607,28782,0,0,0,0,0,0,1
5435,ALL,Lifetime,INITIAL_PURCHASE,Web,366.8635133,28781,1,1,1,1,50,22,83
10378,ALL,Lifetime,INITIAL_PURCHASE,Web,366.8635133,28781,1,1,0,1,36,23,44
14450,ALL,Lifetime,INITIAL_PURCHASE,Web,366.8635133,28781,0,1,1,1,11,3,41
16943,ALL,Lifetime,INITIAL_PURCHASE,Web,366.8635133,28781,0,1,1,1,34,25,79
20848,ALL,Lifetime,INITIAL_PURCHASE,Web,366.8635133,28781,0,1,1,1,5,2,37
